trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,926400000.0,COMPLETE,,,374,0.017055858491256706,3698,0.24900474577665488,1.0,10000,50
1,937600000.0,COMPLETE,,,635,0.06488752791693349,131,0.7459551856259035,1.0,10000,50
2,931040000.0,COMPLETE,,,918,0.014921116227882609,2562,0.6957778478603052,1.0,10000,50
3,936640000.0,COMPLETE,,,903,0.04793249461585214,637,0.9774557200997019,1.0,10000,50
4,938720000.0,COMPLETE,,,960,0.013297376139064445,1166,0.3968550148751063,1.0,10000,50
5,938880000.0,COMPLETE,,,166,0.013243205263038642,1339,0.5557126214218382,1.0,10000,50
6,932160000.0,COMPLETE,,,318,0.03334910890348738,2370,0.6142385598595552,1.0,10000,50
7,938880000.0,COMPLETE,,,580,0.029392988834904082,1575,0.48060352408822027,1.0,10000,50
8,870240000.0,COMPLETE,,,646,0.04969655329901396,44,0.020337689731390197,1.0,10000,50
9,927040000.0,COMPLETE,,,253,0.04496931466025362,4247,0.593494901293617,1.0,10000,50
10,931840000.0,COMPLETE,,,990,0.02160904694420247,2129,0.6145740779349148,1.0,10000,50
11,928960000.0,COMPLETE,,,538,0.045539381389884545,4540,0.16723826257988406,1.0,10000,50
12,926240000.0,COMPLETE,,,968,0.010825158366825648,2954,0.4088256797680279,1.0,10000,50
13,929760000.0,COMPLETE,,,991,0.017984805242152405,3312,0.24043949018399394,1.0,10000,50
14,938560000.0,COMPLETE,,,840,0.06204125894512214,246,0.3818407464063109,1.0,10000,50
15,924640000.0,COMPLETE,,,438,0.09458491967400985,2382,0.03726764212245559,1.0,10000,50
16,933280000.0,COMPLETE,,,205,0.09426073459303008,3567,0.21228877804945717,1.0,10000,50
17,934720000.0,COMPLETE,,,855,0.06059083177680909,1331,0.13589083935000104,1.0,10000,50
18,921440000.0,COMPLETE,,,790,0.06705565525462488,347,0.06489496664306413,1.0,10000,50
19,927520000.0,COMPLETE,,,558,0.05112751028059846,4513,0.5511146011019765,1.0,10000,50
20,931520000.0,COMPLETE,,,847,0.09695393197977091,1746,0.0676859688023723,1.0,10000,50
21,938560000.0,COMPLETE,,,508,0.07557326832762035,706,0.4881386066494627,1.0,10000,50
22,920800000.0,COMPLETE,,,958,0.09635576647576471,2890,0.027949671108486444,1.0,10000,50
23,932800000.0,COMPLETE,,,206,0.07389720598876073,2431,0.9541472249417833,1.0,10000,50
24,932000000.0,COMPLETE,,,627,0.09292985425185137,3550,0.8744596001858808,1.0,10000,50
25,931200000.0,COMPLETE,,,440,0.07601234765712289,4781,0.6950148253926641,1.0,10000,50
