trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,981600000.0,COMPLETE,,,643,0.06072653310045333,148,0.8253756369252857,1.0,10000,50
1,981600000.0,COMPLETE,,,660,0.08155750646382486,1371,0.09433926352543182,1.0,10000,50
2,981600000.0,COMPLETE,,,106,0.09401984679349577,815,0.6040864997315561,1.0,10000,50
3,981120000.0,COMPLETE,,,1372,0.011200886418999934,766,0.37942517524843067,1.0,10000,50
4,981600000.0,COMPLETE,,,1274,0.046048965244510805,723,0.9141849352992928,1.0,10000,50
5,981600000.0,COMPLETE,,,926,0.08238874344824394,137,0.9576079347498248,1.0,10000,50
6,981600000.0,COMPLETE,,,504,0.08200802401033919,796,0.45538420931794377,1.0,10000,50
7,981600000.0,COMPLETE,,,1211,0.015135563953270805,1944,0.22956522345824018,1.0,10000,50
8,981600000.0,COMPLETE,,,1429,0.030521335040441373,640,0.2534751586079821,1.0,10000,50
9,981600000.0,COMPLETE,,,1092,0.04824721841240043,1114,0.8743500651163014,1.0,10000,50
10,981600000.0,COMPLETE,,,1089,0.08414156816275487,1107,0.205102144699603,1.0,10000,50
11,980480000.0,COMPLETE,,,323,0.0768027940057185,413,0.06231801865568351,1.0,10000,50
12,981280000.0,COMPLETE,,,837,0.02018591442670409,1375,0.3075894104258038,1.0,10000,50
13,981600000.0,COMPLETE,,,460,0.08477091118472481,1758,0.7559825870682264,1.0,10000,50
14,981600000.0,COMPLETE,,,570,0.06617228526067725,395,0.9757450916241301,1.0,10000,50
15,981600000.0,COMPLETE,,,873,0.03132658195549454,842,0.5651122082381614,1.0,10000,50
16,981440000.0,COMPLETE,,,1355,0.08819998878271447,1489,0.05470295349999742,1.0,10000,50
17,981600000.0,COMPLETE,,,983,0.0845921348491218,68,0.9043684167882703,1.0,10000,50
18,981600000.0,COMPLETE,,,535,0.012705969806547451,1803,0.5327434840959081,1.0,10000,50
19,981600000.0,COMPLETE,,,372,0.005507057189668645,1688,0.8070626579503994,1.0,10000,50
20,980960000.0,COMPLETE,,,995,0.022461043910149876,985,0.2422920626224276,1.0,10000,50
21,981600000.0,COMPLETE,,,1122,0.0883291921130642,1939,0.17924303246686274,1.0,10000,50
22,981600000.0,COMPLETE,,,248,0.06170098037148278,239,0.6928873792507474,1.0,10000,50
23,981600000.0,COMPLETE,,,1469,0.09072836904953312,483,0.6175724578448782,1.0,10000,50
24,980640000.0,COMPLETE,,,977,0.006283393733881682,52,0.961618569547899,1.0,10000,50
25,981600000.0,COMPLETE,,,614,0.08077289225147809,1566,0.83429610380601,1.0,10000,50
26,981280000.0,COMPLETE,,,1119,0.012337032247022877,833,0.7655442479478737,1.0,10000,50
27,981600000.0,COMPLETE,,,913,0.08415667243194835,381,0.7954445116917735,1.0,10000,50
28,981600000.0,COMPLETE,,,1001,0.05478467601876248,689,0.7774208682605503,1.0,10000,50
29,981600000.0,COMPLETE,,,173,0.09605452049137596,1343,0.6470845470235698,1.0,10000,50
30,981600000.0,COMPLETE,,,113,0.0993009501209395,1178,0.6081731026766553,1.0,10000,50
31,981600000.0,COMPLETE,,,135,0.05106060860486422,1293,0.6384206931306229,1.0,10000,50
32,981600000.0,COMPLETE,,,139,0.09762134780219499,1257,0.645834926244666,1.0,10000,50
33,981280000.0,COMPLETE,,,171,0.04066006507940951,999,0.6396348158436373,1.0,10000,50
34,981600000.0,COMPLETE,,,717,0.07009794395361899,1217,0.6785238316995947,1.0,10000,50
35,981600000.0,COMPLETE,,,654,0.04965991122123718,227,0.6941472164459632,1.0,10000,50
36,981600000.0,COMPLETE,,,701,0.0674552078399715,121,0.6986109316390205,1.0,10000,50
37,981600000.0,COMPLETE,,,718,0.07045551516704565,179,0.458005700201488,1.0,10000,50
38,981120000.0,COMPLETE,,,742,0.0699229853556403,25,0.38386937554478434,1.0,10000,50
39,981600000.0,COMPLETE,,,747,0.07086843407420355,111,0.412423327665308,1.0,10000,50
40,981280000.0,COMPLETE,,,714,0.06871501812557516,35,0.3659788181291453,1.0,10000,50
41,981600000.0,COMPLETE,,,739,0.05960813696412781,60,0.9063539389931219,1.0,10000,50
42,981280000.0,COMPLETE,,,707,0.058479949090594806,47,0.4376180799971421,1.0,10000,50
43,980960000.0,COMPLETE,,,657,0.04232661013919209,22,0.9057114593309923,1.0,10000,50
44,981600000.0,COMPLETE,,,433,0.058622265441771106,516,0.9114328092133044,1.0,10000,50
45,978400000.0,COMPLETE,,,1235,0.04265214575333901,9,0.9192390737159541,1.0,10000,50
46,981600000.0,COMPLETE,,,1331,0.03819362210527062,903,0.35524255499764507,1.0,10000,50
47,981440000.0,COMPLETE,,,1285,0.04174206961787394,640,0.3396764506616648,1.0,10000,50
48,981600000.0,COMPLETE,,,1367,0.07469779361536574,642,0.9922482864152231,1.0,10000,50
49,981280000.0,COMPLETE,,,331,0.040702326114116616,909,0.8556392761795732,1.0,10000,50
