trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,975680000.0,COMPLETE,,,718,0.04581964933495685,61,0.16252870872259267,1.0,10000,50
1,976320000.0,COMPLETE,,,1099,0.07514343941886711,448,0.6610253793489068,1.0,10000,50
2,976000000.0,COMPLETE,,,1229,0.04052030193436188,829,0.7822544169803446,1.0,10000,50
3,975040000.0,COMPLETE,,,1245,0.05668793432374543,1318,0.08865998071418234,1.0,10000,50
4,975680000.0,COMPLETE,,,1096,0.019223703723156328,1353,0.3237715959356723,1.0,10000,50
5,975680000.0,COMPLETE,,,321,0.05506431414519381,684,0.47985476064267457,1.0,10000,50
6,972640000.0,COMPLETE,,,543,0.03206214294973187,92,0.7965846424954227,1.0,10000,50
7,971040000.0,COMPLETE,,,1340,0.09777786346716584,1039,0.10906597033985845,1.0,10000,50
8,974720000.0,COMPLETE,,,1418,0.011965374527337792,1471,0.2774509636608014,1.0,10000,50
9,970720000.0,COMPLETE,,,350,0.01923830434757587,1663,0.031321031649072864,1.0,10000,50
10,977120000.0,COMPLETE,,,720,0.035807468507009256,642,0.8713200944312409,1.0,10000,50
11,976000000.0,COMPLETE,,,531,0.037401222262330634,1910,0.6054366104267286,1.0,10000,50
12,977120000.0,COMPLETE,,,762,0.09439527993567892,794,0.8919761094959318,1.0,10000,50
13,975680000.0,COMPLETE,,,349,0.024452167742835186,1908,0.5348672122343938,1.0,10000,50
14,974720000.0,COMPLETE,,,517,0.08249005203334243,1606,0.4565013032321721,1.0,10000,50
15,973760000.0,COMPLETE,,,500,0.0014445249648142322,852,0.8698855502550092,1.0,10000,50
16,976800000.0,COMPLETE,,,148,0.09981113286059165,1355,0.30771318250092233,1.0,10000,50
17,976480000.0,COMPLETE,,,1218,0.09563459180044769,1242,0.7434332632718557,1.0,10000,50
18,968800000.0,COMPLETE,,,397,0.002733268369456721,227,0.08176012789959033,1.0,10000,50
19,977120000.0,COMPLETE,,,860,0.08657964376182946,269,0.7092490920270628,1.0,10000,50
20,972640000.0,COMPLETE,,,514,0.007745970312022861,1285,0.8763280583493204,1.0,10000,50
21,976320000.0,COMPLETE,,,184,0.024426722671297148,486,0.5530184174764324,1.0,10000,50
22,976960000.0,COMPLETE,,,733,0.09471945556005001,353,0.3069390652842963,1.0,10000,50
23,974720000.0,COMPLETE,,,104,0.07488623985121372,1789,0.30794985995400415,1.0,10000,50
24,976640000.0,COMPLETE,,,390,0.09363422037618771,643,0.3291294959107434,1.0,10000,50
25,975520000.0,COMPLETE,,,669,0.09176187354646072,1228,0.8671118093976735,1.0,10000,50
26,977120000.0,COMPLETE,,,1333,0.025599304661160765,426,0.7823530724177765,1.0,10000,50
27,976160000.0,COMPLETE,,,116,0.06423033781364205,1644,0.9918472736315683,1.0,10000,50
28,975520000.0,COMPLETE,,,455,0.015614435787671023,1427,0.3614989659067046,1.0,10000,50
29,976800000.0,COMPLETE,,,901,0.04833020691085264,94,0.987721286363887,1.0,10000,50
30,976800000.0,COMPLETE,,,809,0.06657208230546796,571,0.9474470363304867,1.0,10000,50
31,977440000.0,COMPLETE,,,857,0.06329931626203725,274,0.9824835567019419,1.0,10000,50
32,976800000.0,COMPLETE,,,857,0.08499002427785296,1044,0.9973553037743905,1.0,10000,50
33,977600000.0,COMPLETE,,,856,0.0849911404969745,147,0.999245396905496,1.0,10000,50
34,976960000.0,COMPLETE,,,887,0.08380220828894659,336,0.9615801370865911,1.0,10000,50
35,978400000.0,COMPLETE,,,864,0.04484797994026333,347,0.6988515954971568,1.0,10000,50
36,977280000.0,COMPLETE,,,932,0.04557575492410576,299,0.7012340470070706,1.0,10000,50
37,980480000.0,COMPLETE,,,984,0.04721162194747186,64,0.7047814962169545,1.0,10000,50
38,977600000.0,COMPLETE,,,945,0.04322015016153212,329,0.6544361935826416,1.0,10000,50
39,977760000.0,COMPLETE,,,954,0.04827981213992903,296,0.680013103794861,1.0,10000,50
40,974720000.0,COMPLETE,,,1065,0.04754451020025184,4,0.7093577780428226,1.0,10000,50
41,977120000.0,COMPLETE,,,986,0.04731455680950633,222,0.6674580804570537,1.0,10000,50
42,976800000.0,COMPLETE,,,992,0.043523351962798135,62,0.6580784654739634,1.0,10000,50
43,976160000.0,COMPLETE,,,981,0.04557102668082557,121,0.634567300489522,1.0,10000,50
44,974720000.0,COMPLETE,,,979,0.04373338343943928,3,0.6493065581829788,1.0,10000,50
45,975840000.0,COMPLETE,,,997,0.046778736097941136,44,0.6037801710369849,1.0,10000,50
46,975840000.0,COMPLETE,,,1013,0.048586735444020104,61,0.637666151543486,1.0,10000,50
47,974720000.0,COMPLETE,,,1039,0.051574101432916006,12,0.6173290662955411,1.0,10000,50
48,974400000.0,COMPLETE,,,1159,0.05161640908910722,1,0.6132247996041162,1.0,10000,50
49,976640000.0,COMPLETE,,,1042,0.05442067817803542,35,0.4262110563188629,1.0,10000,50
