trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,976960000.0,COMPLETE,,,1240,0.04925955077253495,88,0.011023380506805161,1.0,10000,50
1,981600000.0,COMPLETE,,,244,0.07744726186426241,1702,0.31111814194573745,1.0,10000,50
2,981600000.0,COMPLETE,,,595,0.07374208126632587,717,0.9519711204562368,1.0,10000,50
3,981600000.0,COMPLETE,,,575,0.09753573966038809,475,0.5817686320901475,1.0,10000,50
4,981440000.0,COMPLETE,,,122,0.09371885873168646,1037,0.27833583520841737,1.0,10000,50
5,981600000.0,COMPLETE,,,303,0.052939150144877885,899,0.838663500756516,1.0,10000,50
6,981600000.0,COMPLETE,,,496,0.04027538681486751,1738,0.7120419328798915,1.0,10000,50
7,981600000.0,COMPLETE,,,291,0.057146089773831954,1323,0.09027873735818398,1.0,10000,50
8,981600000.0,COMPLETE,,,490,0.048954712940462844,1366,0.6530474974266923,1.0,10000,50
9,969440000.0,COMPLETE,,,1054,0.05264098943848852,1456,0.04410631542149145,1.0,10000,50
10,980800000.0,COMPLETE,,,187,0.030268597253686205,561,0.12282511792956054,1.0,10000,50
11,980320000.0,COMPLETE,,,141,0.019951610120579923,1141,0.07721672836581027,1.0,10000,50
12,981600000.0,COMPLETE,,,267,0.07688047362878764,844,0.9783984991202619,1.0,10000,50
13,981600000.0,COMPLETE,,,1344,0.03673113931429477,166,0.6183529765627115,1.0,10000,50
14,979520000.0,COMPLETE,,,676,0.048673738756893216,410,0.03183436435671966,1.0,10000,50
15,981600000.0,COMPLETE,,,1442,0.04365464627974401,1803,0.6314938339036912,1.0,10000,50
16,981600000.0,COMPLETE,,,690,0.057569817136702506,1316,0.34258705997131544,1.0,10000,50
17,981600000.0,COMPLETE,,,749,0.04852782347258975,1718,0.7711900438480432,1.0,10000,50
18,981600000.0,COMPLETE,,,673,0.037489031436599575,1962,0.8783455415849409,1.0,10000,50
19,980640000.0,COMPLETE,,,471,0.021163239536154628,1904,0.339674725781316,1.0,10000,50
20,978880000.0,COMPLETE,,,1073,0.014320745056500609,335,0.051859249768139125,1.0,10000,50
21,981600000.0,COMPLETE,,,787,0.013566899495178964,966,0.843628551843786,1.0,10000,50
22,981600000.0,COMPLETE,,,182,0.05556225551386576,1875,0.8385081571326873,1.0,10000,50
23,981600000.0,COMPLETE,,,1255,0.06758321070290856,1984,0.11559635494731602,1.0,10000,50
24,980800000.0,COMPLETE,,,467,0.030635558551638332,33,0.6140940264577137,1.0,10000,50
25,980800000.0,COMPLETE,,,540,0.06874876226738698,1996,0.046911255071198366,1.0,10000,50
26,980960000.0,COMPLETE,,,951,0.04708897498461311,1501,0.34205331001043804,1.0,10000,50
27,981600000.0,COMPLETE,,,1479,0.09236522274690932,1794,0.7119689150487498,1.0,10000,50
28,981600000.0,COMPLETE,,,690,0.0534723731449914,1785,0.8671413326155817,1.0,10000,50
29,981600000.0,COMPLETE,,,879,0.0749853962022043,83,0.47311834354568144,1.0,10000,50
30,980960000.0,COMPLETE,,,971,0.075213922059406,29,0.5823288613940056,1.0,10000,50
31,980960000.0,COMPLETE,,,1038,0.07720856904392072,13,0.477081117309659,1.0,10000,50
32,981280000.0,COMPLETE,,,920,0.07763169316409839,112,0.2218051056285596,1.0,10000,50
33,981600000.0,COMPLETE,,,407,0.0833768528072088,137,0.49322964548776077,1.0,10000,50
34,981280000.0,COMPLETE,,,383,0.0854629687012273,18,0.5326926450783959,1.0,10000,50
35,981600000.0,COMPLETE,,,378,0.08197155633299903,18,0.49501422545385576,1.0,10000,50
36,981600000.0,COMPLETE,,,591,0.08199834626207747,678,0.46125936623854075,1.0,10000,50
37,981440000.0,COMPLETE,,,892,0.06871584218247614,639,0.4644725514363007,1.0,10000,50
38,981600000.0,COMPLETE,,,856,0.09943492325102277,739,0.9969526057471761,1.0,10000,50
39,981600000.0,COMPLETE,,,860,0.09985499280189308,724,0.19470997217993458,1.0,10000,50
40,981600000.0,COMPLETE,,,377,0.09923601520367765,743,0.9865910778048095,1.0,10000,50
41,981600000.0,COMPLETE,,,347,0.09888249405227005,783,0.9901203176653727,1.0,10000,50
42,981600000.0,COMPLETE,,,251,0.09748325519988289,840,0.9947433415403436,1.0,10000,50
43,981600000.0,COMPLETE,,,273,0.09173091285470354,1094,0.9437484082900269,1.0,10000,50
44,981600000.0,COMPLETE,,,593,0.09105724953815503,494,0.24609631518637223,1.0,10000,50
45,981600000.0,COMPLETE,,,326,0.09007670850733543,495,0.19835674906336112,1.0,10000,50
46,981600000.0,COMPLETE,,,586,0.06175577031391869,1051,0.7761673911409612,1.0,10000,50
47,981600000.0,COMPLETE,,,104,0.07378640883316631,528,0.18770050061627463,1.0,10000,50
48,980960000.0,COMPLETE,,,104,0.07450352389914545,483,0.19439481911428455,1.0,10000,50
49,981440000.0,COMPLETE,,,122,0.07418883601449386,457,0.23176492901801976,1.0,10000,50
